Year,Genre,Sales
2013,Action,1.91
2013,Action-Adventure,3.19
2013,Fighting,0.98
2013,Misc,0.46
2013,Music,0.47
2013,Platform,0.16
2013,Puzzle,0.25
2013,Racing,2.17
2013,Shooter,8.13
2013,Sports,6.2
2014,Action,31.53
2014,Action-Adventure,10.04
2014,Adventure,2.23
2014,Fighting,1.53
2014,Misc,7.41
2014,MMO,0.79
2014,Music,0.6
2014,Platform,4.09
2014,Racing,1.99
2014,Role-Playing,5.88
2014,Shooter,21.42
2014,Sports,14.62
2014,Strategy,0.06
2015,Action,29.81
2015,Action-Adventure,2.75
2015,Adventure,3.3
2015,Fighting,4.74
2015,Misc,0.25
2015,MMO,2.22
2015,Music,2.27
2015,Platform,0.27
2015,Puzzle,0.06
2015,Racing,5.34
2015,Role-Playing,17.74
2015,Shooter,36.95
2015,Simulation,0.81
2015,Sports,20.92
2015,Strategy,0.14
2016,Action,12.99
2016,Action-Adventure,11.59
2016,Adventure,3.37
2016,Fighting,2.87
2016,Misc,2.88
2016,Music,1.03
2016,Platform,3.48
2016,Puzzle,0.11
2016,Racing,1.8
2016,Role-Playing,13.06
2016,Shooter,34.4
2016,Simulation,1.05
2016,Sports,26.53
2016,Strategy,0.6
2016,Visual Novel,0.18
2017,Action,21.99
2017,Action-Adventure,0.58
2017,Adventure,4.03
2017,Fighting,3
2017,Misc,1.57
2017,MMO,0.53
2017,Music,0.68
2017,Party,0.67
2017,Platform,7.49
2017,Puzzle,0.14
2017,Racing,10.75
2017,Role-Playing,9.37
2017,Shooter,31.16
2017,Simulation,2.68
2017,Sports,22.77
2017,Strategy,0.5
2017,Visual Novel,0.28
2018,Action,19.52
2018,Action-Adventure,22.98
2018,Adventure,0.87
2018,Fighting,4.65
2018,Misc,0.47
2018,MMO,0.11
2018,Music,0.45
2018,Party,0.06
2018,Platform,3.81
2018,Puzzle,0.53
2018,Racing,2.83
2018,Role-Playing,8.43
2018,Shooter,13.57
2018,Simulation,1.98
2018,Sports,18.08
2018,Strategy,0.38
2018,Visual Novel,0.09
